OUTPUT Filename,Site,Buoy Size,Total mass,Payload,Waves,Current,Main mooring length,Chain Length,Max Tension,Max Anchor Fx,Max Anchor Fz,Min Clearance,Chain cost,Tether Cost,Anchor weight required,,Anchor cost,total mooring cost,Tether safety factor,Run 2
MA_buoyS_mass1450_RGwavesAve_currMax.dat,Mid Atlantic,Small,1450,500,Average,Max,85,10,5470,4916,2175,0.7,$287,"$1,963",4909,6,"$3,800","$7,050",24.5,
MA_buoyS_mass1700_RGwavesAve_currMax.dat,Mid Atlantic,Small,1700,750,Average,Max,85,10,5883,5351,2350,0.3,$287,"$1,963",5340,7,"$4,100","$7,350",22.8,
MA_buoyS_mass2150_RGwavesAve_currMax.dat,Mid Atlantic,Small,2150,1200,Average,Max,85,10,3891,3623,1191,-21.3,$287,"$1,963",3525,4,"$2,200","$5,450",34.4,
PS_buoyS_mass950_RGwavesMax_currAve.dat,PISCES,Small,950,0,Max,Average,244,10,988,339,253,0.4,$287,"$3,476",361,0,$0,"$4,763",135.5,
PS_buoyS_mass1200_RGwavesMax_currAve.dat,PISCES,Small,1200,250,Max,Average,244,10,998,345,263,0.3,$287,"$3,476",369,0,$0,"$4,763",134.2,
PS_buoyS_mass1450_RGwavesMax_currAve.dat,PISCES,Small,1450,500,Max,Average,244,10,1009,352,276,0.2,$287,"$3,476",379,0,$0,"$4,763",132.7,
PS_buoyS_mass1700_RGwavesMax_currAve.dat,PISCES,Small,1700,750,Max,Average,244,10,1021,360,290,0.9,$287,"$3,476",389,0,$0,"$4,763",131.1,
PS_buoyS_mass2150_RGwavesMax_currAve.dat,PISCES,Small,2150,1200,Max,Average,244,10,1047,376,317,0.8,$287,"$3,476",409,1,$300,"$5,063",127.9,
PS_buoyS_mass950_RGwavesAve_currMax.dat,PISCES,Small,950,0,Average,Max,244,10,1463,723,589,1.1,$287,"$3,476",782,1,$300,"$5,063",91.5,
PS_buoyS_mass1200_RGwavesAve_currMax.dat,PISCES,Small,1200,250,Average,Max,244,10,1526,767,637,1.0,$287,"$3,476",833,1,$300,"$5,063",87.8,
PS_buoyS_mass1450_RGwavesAve_currMax.dat,PISCES,Small,1450,500,Average,Max,244,10,1589,815,687,0.9,$287,"$3,476",887,1,$300,"$5,063",84.3,
PS_buoyS_mass1700_RGwavesAve_currMax.dat,PISCES,Small,1700,750,Average,Max,244,10,1653,860,733,0.9,$287,"$3,476",938,1,$300,"$5,063",81.0,
PS_buoyS_mass2150_RGwavesAve_currMax.dat,PISCES,Small,2150,1200,Average,Max,244,10,1799,962,838,0.1,$287,"$3,476",1053,1,$300,"$5,063",74.4,
HU_buoyS_mass950_RGwavesMax_currAve.dat,Hueneme,Small,950,0,Max,Average,150,10,845,348,218,0.4,$287,"$2,581",362,0,$0,"$3,868",158.4,
HU_buoyS_mass1200_RGwavesMax_currAve.dat,Hueneme,Small,1200,250,Max,Average,150,10,885,375,253,0.3,$287,"$2,581",394,0,$0,"$3,868",151.4,
HU_buoyS_mass1450_RGwavesMax_currAve.dat,Hueneme,Small,1450,500,Max,Average,150,10,915,393,281,0.2,$287,"$2,581",417,1,$300,"$4,168",146.3,
HU_buoyS_mass1700_RGwavesMax_currAve.dat,Hueneme,Small,1700,750,Max,Average,150,10,940,408,310,0.9,$287,"$2,581",436,1,$300,"$4,168",142.4,
HU_buoyS_mass2150_RGwavesMax_currAve.dat,Hueneme,Small,2150,1200,Max,Average,150,10,1068,469,425,-0.4,$287,"$2,581",517,1,$300,"$4,168",125.3,
HU_buoyS_mass950_RGwavesAve_currMax.dat,Hueneme,Small,950,0,Average,Max,150,10,1022,430,391,1.1,$287,"$2,581",475,1,$300,"$4,168",131.0,
HU_buoyS_mass1200_RGwavesAve_currMax.dat,Hueneme,Small,1200,250,Average,Max,150,10,1100,472,456,1.0,$287,"$2,581",527,1,$300,"$4,168",121.8,
HU_buoyS_mass1450_RGwavesAve_currMax.dat,Hueneme,Small,1450,500,Average,Max,150,10,1168,514,513,0.9,$287,"$2,581",577,1,$300,"$4,168",114.7,
HU_buoyS_mass1700_RGwavesAve_currMax.dat,Hueneme,Small,1700,750,Average,Max,150,10,1215,544,548,0.9,$287,"$2,581",612,1,$300,"$4,168",110.2,
HU_buoyS_mass2150_RGwavesAve_currMax.dat,Hueneme,Small,2150,1200,Average,Max,150,10,1446,676,715,0.2,$287,"$2,581",768,1,$300,"$4,168",92.6,
BE_buoyS_mass950_RGwavesMax_currAve.dat,Bering,Small,950,0,Max,Average,66,10,2212,1465,1304,0.3,$287,"$1,782",1610,2,"$1,600","$4,669",60.5,
BE_buoyS_mass1200_RGwavesMax_currAve.dat,Bering,Small,1200,250,Max,Average,66,10,2381,1615,1412,0.2,$287,"$1,782",1770,2,"$1,600","$4,669",56.2,
BE_buoyS_mass1450_RGwavesMax_currAve.dat,Bering,Small,1450,500,Max,Average,66,10,2561,1763,1517,0.0,$287,"$1,782",1926,2,"$1,600","$4,669",52.3,
BE_buoyS_mass1700_RGwavesMax_currAve.dat,Bering,Small,1700,750,Max,Average,66,10,2739,1893,1582,-0.1,$287,"$1,782",2058,3,"$1,900","$4,969",48.9,
BE_buoyS_mass2150_RGwavesMax_currAve.dat,Bering,Small,2150,1200,Max,Average,66,10,2305,1741,1178,-8.1,$287,"$1,782",1830,2,"$1,600","$4,669",58.1,
BE_buoyS_mass950_RGwavesAve_currMax.dat,Bering,Small,950,0,Average,Max,66,10,839,527,331,1.1,$287,"$1,782",548,1,$300,"$3,369",159.5,
BE_buoyS_mass1200_RGwavesAve_currMax.dat,Bering,Small,1200,250,Average,Max,66,10,928,588,398,1.0,$287,"$1,782",618,1,$300,"$3,369",144.3,
BE_buoyS_mass1450_RGwavesAve_currMax.dat,Bering,Small,1450,500,Average,Max,66,10,1015,651,469,0.9,$287,"$1,782",691,1,$300,"$3,369",131.9,
BE_buoyS_mass1700_RGwavesAve_currMax.dat,Bering,Small,1700,750,Average,Max,66,10,1101,711,530,0.8,$287,"$1,782",758,1,$300,"$3,369",121.6,
BE_buoyS_mass2150_RGwavesAve_currMax.dat,Bering,Small,2150,1200,Average,Max,66,10,1109,740,525,-0.1,$287,"$1,782",784,1,$300,"$3,369",120.7,
SF_buoyS_mass950_RGwavesMax_currAve.dat,SFOMF,Small,950,0,Max,Average,234,10,3957,2792,2083,0.1,$287,"$3,380",2979,4,"$2,200","$6,868",33.8,
SF_buoyS_mass1200_RGwavesMax_currAve.dat,SFOMF,Small,1200,250,Max,Average,234,10,4204,3022,2198,0.0,$287,"$3,380",3212,4,"$2,200","$6,868",31.8,
SF_buoyS_mass1450_RGwavesMax_currAve.dat,SFOMF,Small,1450,500,Max,Average,234,10,4594,3398,2373,-0.5,$287,"$3,380",3589,4,"$2,200","$6,868",29.1,
SF_buoyS_mass1700_RGwavesMax_currAve.dat,SFOMF,Small,1700,750,Max,Average,234,10,5166,3838,2560,-0.6,$287,"$3,380",4026,5,"$2,500","$7,168",25.9,
SF_buoyS_mass2150_RGwavesMax_currAve.dat,SFOMF,Small,2150,1200,Max,Average,234,10,2621,1727,1290,-12.5,$287,"$3,380",1843,2,"$1,600","$6,268",51.1,
SF_buoyS_mass950_RGwavesAve_currMax.dat,SFOMF,Small,950,0,Average,Max,234,10,3756,2873,1808,1.0,$287,"$3,380",2990,4,"$2,200","$6,868",35.7,
SF_buoyS_mass1200_RGwavesAve_currMax.dat,SFOMF,Small,1200,250,Average,Max,234,10,3893,3001,1875,0.9,$287,"$3,380",3120,4,"$2,200","$6,868",34.4,
SF_buoyS_mass1450_RGwavesAve_currMax.dat,SFOMF,Small,1450,500,Average,Max,234,10,4019,3121,1936,0.8,$287,"$3,380",3242,4,"$2,200","$6,868",33.3,
SF_buoyS_mass1700_RGwavesAve_currMax.dat,SFOMF,Small,1700,750,Average,Max,234,10,4258,3351,2059,0.7,$287,"$3,380",3476,4,"$2,200","$6,868",31.4,
SF_buoyS_mass2150_RGwavesAve_currMax.dat,SFOMF,Small,2150,1200,Average,Max,234,10,2787,2165,1094,-32.1,$287,"$3,380",2193,3,"$1,900","$6,568",48.0,
PW_buoyL_mass12000_RGwavesMax_currAve.dat,PacWave,Large,12000,0,Max,Average,75,20,1564,1135,444,1.6,$574,"$1,868",1120,1,$300,"$3,742",85.6,
